;;;;;;;
DICTIONNAIRE DES DONNÉES - Valeurs foncières;;;;;;;
;;;;;;;
;;;;;;;
CODE;SIGNIFICATION;TYPE;LONGUEUR;NATURE;REGLE DE GESTION;REGLE DE CALCUL;
Id_bien;ID dans la base de données;Integer;NC;Elémentaire;Ne doit pas être nul;;
;;;;;;;
Type_de_voie;Plusieurs valeurs (rue, avenue, chemin, etc.);Varchar;4;Elémentaire;;;
Voie;Nom de la rue;Varchar;50;Elémentaire;;;
date_mutation;Date de la transaction immobilière;TIMESTAMP;10;Elémentaire;Format YYYY/MM/DD;Doit être supérieur à la date du jour;
valeur_fonciere;Montant de la transaction immobilière;DECIMAL(15,2);19;Elémentaire;Ne doit pas être nul;Doit être strictement supérieur à 0;
numero_voie;Numéro ;DECIMAL(15,2);19;Élémentaire;Ne doit pas être nul;Doit être strictement supérieur à 0;
code_type_voie;Code faisant référence au type de voie;BIGINT;NC;Elémentaire;Ne doit pas être nul;Doit être positif;
type_voie;Type de la voie (Rue, Allée…);VARCHAR(14);14;Elémentaire;Ne doit pas être nul;;
;;;;;;;
Voie;Nom de la voie;VARCHAR(100);100;Elémentaire;Ne doit pas être nul;;
code_id_commune;Id relatif à la commune;BIGINT;NC;Elémentaire;Ne doit pas être nul;Doit être strictement supérieur à 0;
code_postal;Code faisant référence ;VARCHAR(5);5;Elémentaire;Ne doit pas être nul;Doit être strictement supérieur à 0;
Commune;Nom de la commune;VARCHAR(40);40;Elémentaire;Ne doit pas être nul;;
code_departement;Code faisant référence au département;VARCHAR(13);13;Elémentaire;Ne doit pas être nul;;
code_commune;Code faisant référence à la commune;VARCHAR(5);5;Elémentaire;Doit exister dans le référentiel géographique (FK);Doit être positif;
surface_carre;Surface du bien au m2;DECIMAL(15,2);19;Elémentaire;Ne doit pas être nul;Doit être strictement supérieur à 0;
nb_lot;Nombre de lot;BIGINT;19;Elémentaire;Ne doit pas être nul;Doit être strictement supérieur à 0;
code_type_local;Code faisant référence au type de local;BIGINT;19;Elémentaire;Ne doit pas être nul;Doit être strictement supérieur à 0;
type_local;Définis le type de bien (appartement ou maison);VARCHAR(50);21;Elémentaire;Ne doit pas être nul;;
surface_reel_bati;Surface réel habitable;DECIMAL(15,2);19;Elémentaire;Ne doit pas être nul;Doit être égale ou supérieur a 9;
nombre_piece;Nombre de pièce dans le logement;BIGINT;19;Elémentaire;Ne doit pas etre nul;Doit être égale ou supérieur a 1;
nom_acquereur;Nom de l’acquereur du bien;VARCHAR(100);100;Elémentaire;Ne doit pas etre nul;;
